Station,Scenario,IntervalStartDt,IntervalEndDt,Sunshine
White Plains,ACTUAL,8/14/2017 6:00,8/14/2017 7:00,39
White Plains,ACTUAL,8/14/2017 7:00,8/14/2017 8:00,18
White Plains,ACTUAL,8/14/2017 8:00,8/14/2017 9:00,39
White Plains,ACTUAL,8/14/2017 9:00,8/14/2017 10:00,39
White Plains,ACTUAL,8/14/2017 10:00,8/14/2017 11:00,39
White Plains,ACTUAL,8/14/2017 11:00,8/14/2017 12:00,39
White Plains,ACTUAL,8/14/2017 12:00,8/14/2017 13:00,39
White Plains,ACTUAL,8/14/2017 13:00,8/14/2017 14:00,39
White Plains,ACTUAL,8/14/2017 14:00,8/14/2017 15:00,39
White Plains,ACTUAL,8/14/2017 15:00,8/14/2017 16:00,39
White Plains,ACTUAL,8/14/2017 16:00,8/14/2017 17:00,39
White Plains,ACTUAL,8/14/2017 17:00,8/14/2017 18:00,39
White Plains,ACTUAL,8/14/2017 18:00,8/14/2017 19:00,35
White Plains,ACTUAL,8/14/2017 19:00,8/14/2017 20:00,0
White Plains,ACTUAL,8/14/2017 20:00,8/14/2017 21:00,0
White Plains,ACTUAL,8/14/2017 21:00,8/14/2017 22:00,0
White Plains,ACTUAL,8/14/2017 22:00,8/14/2017 23:00,0
White Plains,ACTUAL,8/14/2017 23:00,8/15/2017 0:00,0
White Plains,ACTUAL,8/15/2017 0:00,8/15/2017 1:00,0
White Plains,ACTUAL,8/15/2017 1:00,8/15/2017 2:00,0
White Plains,ACTUAL,8/15/2017 2:00,8/15/2017 3:00,0
White Plains,ACTUAL,8/15/2017 3:00,8/15/2017 4:00,0
White Plains,ACTUAL,8/15/2017 4:00,8/15/2017 5:00,0
White Plains,ACTUAL,8/15/2017 5:00,8/15/2017 6:00,16
White Plains,ACTUAL,8/15/2017 6:00,8/15/2017 7:00,18
White Plains,ACTUAL,8/15/2017 7:00,8/15/2017 8:00,18
White Plains,ACTUAL,8/15/2017 8:00,8/15/2017 9:00,18
White Plains,ACTUAL,8/15/2017 9:00,8/15/2017 10:00,18
White Plains,ACTUAL,8/15/2017 10:00,8/15/2017 11:00,18
White Plains,ACTUAL,8/15/2017 11:00,8/15/2017 12:00,18
White Plains,ACTUAL,8/15/2017 12:00,8/15/2017 13:00,18
White Plains,ACTUAL,8/15/2017 13:00,8/15/2017 14:00,18
White Plains,ACTUAL,8/15/2017 14:00,8/15/2017 15:00,0
White Plains,ACTUAL,8/15/2017 15:00,8/15/2017 16:00,0
White Plains,ACTUAL,8/15/2017 16:00,8/15/2017 17:00,18
White Plains,ACTUAL,8/15/2017 17:00,8/15/2017 18:00,0
White Plains,ACTUAL,8/15/2017 18:00,8/15/2017 19:00,15
White Plains,ACTUAL,8/15/2017 19:00,8/15/2017 20:00,0
White Plains,ACTUAL,8/15/2017 20:00,8/15/2017 21:00,0
White Plains,ACTUAL,8/15/2017 21:00,8/15/2017 22:00,0
White Plains,ACTUAL,8/15/2017 22:00,8/15/2017 23:00,0
White Plains,ACTUAL,8/15/2017 23:00,8/16/2017 0:00,0
White Plains,ACTUAL,8/16/2017 0:00,8/16/2017 1:00,0
White Plains,ACTUAL,8/16/2017 1:00,8/16/2017 2:00,0
White Plains,ACTUAL,8/16/2017 2:00,8/16/2017 3:00,0
White Plains,ACTUAL,8/16/2017 3:00,8/16/2017 4:00,0
White Plains,ACTUAL,8/16/2017 4:00,8/16/2017 5:00,0
White Plains,ACTUAL,8/16/2017 5:00,8/16/2017 6:00,16
White Plains,ACTUAL,8/16/2017 6:00,8/16/2017 7:00,39
White Plains,ACTUAL,8/16/2017 7:00,8/16/2017 8:00,39
White Plains,ACTUAL,8/16/2017 8:00,8/16/2017 9:00,60
White Plains,ACTUAL,8/16/2017 9:00,8/16/2017 10:00,60
White Plains,ACTUAL,8/16/2017 10:00,8/16/2017 11:00,39
White Plains,ACTUAL,8/16/2017 11:00,8/16/2017 12:00,39
White Plains,ACTUAL,8/16/2017 12:00,8/16/2017 13:00,39
White Plains,ACTUAL,8/16/2017 13:00,8/16/2017 14:00,39
White Plains,ACTUAL,8/16/2017 14:00,8/16/2017 15:00,39
White Plains,ACTUAL,8/16/2017 15:00,8/16/2017 16:00,18
White Plains,ACTUAL,8/16/2017 16:00,8/16/2017 17:00,18
White Plains,ACTUAL,8/16/2017 17:00,8/16/2017 18:00,39
White Plains,ACTUAL,8/16/2017 18:00,8/16/2017 19:00,33
White Plains,ACTUAL,8/16/2017 19:00,8/16/2017 20:00,0
White Plains,ACTUAL,8/16/2017 20:00,8/16/2017 21:00,0
White Plains,ACTUAL,8/16/2017 21:00,8/16/2017 22:00,0
White Plains,ACTUAL,8/16/2017 22:00,8/16/2017 23:00,0
White Plains,ACTUAL,8/16/2017 23:00,8/17/2017 0:00,0
